index,name,active_fla,address_st,activity,activity_l,program__1,mpca_id_li,industrial,shape,geometry
13,Keewaydin School Addition - Package #1,Y,5209 30th Ave South,Construction Stormwater,Construction Stormwater,Stormwater,C00034091,,0101000020E610000002B7EEE6A94E57C0711B0DE02D744640,POINT (481912.8766803024 4972716.920421051)
14,Saint Kevins School,N,5752 27th Ave S,Underground Tanks,Underground Tanks,Tanks,TS0014907,,0101000020E61000004D1E053EF54E57C06FF4311F10734640,POINT (481547.07273799524 4971749.237277616)
15,Looking Good Decorating,Y,5657 26th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000311168,Painting and Wall Covering Contractors,0101000020E6100000BDC5C37B0E4F57C0BA32A83638734640,POINT (481425.83070414164 4971885.5019253185)
16,Wenonah Elementary School,Y,5625 23rd Ave S,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0001497; TS0002450; VP8660,,0101000020E6100000C638DACC3C4F57C0E5C0404A4B734640,POINT (481202.825962873 4971950.824058335)
17,Former Kunz Oil Company,Y,5556 5558 28th Ave S,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0008097,,0101000020E6100000D5B67AB1E44E57C050B9361270734640,POINT (481627.75670965615 4972074.281071162)
18,Charles FINCK PAINTING LLC,Y,5552 24th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000318312,Painting and Wall Covering Contractors,0101000020E61000002A9EA323334F57C0687CDB2386734640,POINT (481249.96573702234 4972150.192237945)
19,Landscape Restoration at North Mississip,Y,4900 Mississippi Ct,Construction Stormwater,Construction Stormwater,Stormwater,C00013016,,0101000020E61000003123BC3D084F57C052F355F2B1734640,POINT (481457.10857116623 4972298.096586891)
20,East 50th St Reconstruction,N,See Location Description,Construction Stormwater,Construction Stormwater,Stormwater,C00021798,,0101000020E610000074FA30310C4F57C09B69EB75C5734640,POINT (481438.262473282 4972364.305322592)
21,Fort Snelling Federal Credit Union,N,See Location Description,Construction Stormwater,Construction Stormwater,Stormwater,C00016420,,0101000020E610000074FA30310C4F57C09B69EB75C5734640,POINT (481438.262473282 4972364.305322592)
22,SP 027-603-034,N,See Location Description,Construction Stormwater,Construction Stormwater,Stormwater,C00017378,,0101000020E610000074FA30310C4F57C09B69EB75C5734640,POINT (481438.262473282 4972364.305322592)
23,Mndot,N,5837 Minnehaha Ave S,Multiple Activities,Aboveground Tanks; Underground Tanks,Tanks,TS0122098,,0101000020E610000074FA30310C4F57C09B69EB75C5734640,POINT (481438.262473282 4972364.305322592)
24,58th & Cedar Dump,Y,See location description,Site Assessment,Site Assessment,Investigation and Cleanup,SA0007688,,0101000020E610000055F5134AB64F57C04699EC23E0724640,POINT (480616.28900620405 4971589.327027914)
25,Mr Tune Up,Y,5602 Cedar Ave S,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup; Hazardous Waste; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0014644; LS0019740; MND078688462; PB4735; PB4741; TS0020807; VP32350,General Automotive Repair,0101000020E6100000569FABADD84F57C07BA933524A734640,POINT (480451.6651480429 4971949.789392717)
26,Lake Nokomis Shoreline Enhancement,Y,4810 E Lake Nokomis Parkway,Construction Stormwater,Construction Stormwater,Stormwater,C00054459,,0101000020E61000005D514A08564F57C06553AEF02E754640,POINT (481086.0885047429 4973590.784184423)
27,Waynes Union Oil,Y,4745 Cedar Ave S,Multiple Activities,"Hazardous Waste; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0011670; MND981525835; TS0015095,,0101000020E6100000DF991AB2CB4F57C0D0A80A5751754640,POINT (480519.5896065126 4973709.102867059)
28,Speedway 4161,Y,4740 Cedar Ave S,Multiple Activities,"Hazardous Waste; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0007220; LS0017468; MN0000453480; TS0001528,Gasoline Stations with Convenience Stores,0101000020E61000009CD5A7C1D94F57C0AABA473657754640,POINT (480451.91273184115 4973729.216033831)
29,Hiawatha Service Center,Y,4757 Longfellow Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000034975,,0101000020E6100000284C7386BD4F57C0FB928D075B754640,POINT (480587.9559940101 4973741.743354173)
30,Mprb Hiawatha Services Center,Y,4757 Longfellow Ave S,Multiple Activities,"Aboveground Tanks; Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0010096; TS0002126,,0101000020E6100000C9433A97BD4F57C02482CC295C754640,POINT (480587.65195163427 4973745.587873461)
31,Nokomis Mixed Use,Y,4715 Cedar Avenue South 4712 Longfellow Avenue,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup","Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup",Investigation and Cleanup,BF0001293,,0101000020E610000016FBCBEEC94F57C04C37894160754640,POINT (480528.23656326655 4973759.64316767)
32,Bosen Terrace Apartment,N,2510 Bosen Terrace,Underground Tanks,Underground Tanks,Tanks,TS0013047,,0101000020E610000074FA30310C4F57C09B69EB75C5734640,POINT (481438.262473282 4972364.305322592)
33,Chicago Commons,Y,See Location Description,Construction Stormwater,Construction Stormwater,Stormwater,C00013930,,0101000020E610000074FA30310C4F57C09B69EB75C5734640,POINT (481438.262473282 4972364.305322592)
34,Bush Terrace Condos,Y,4014 15th Ave S,Underground Tanks,Underground Tanks,Tanks,TS0002052,,0101000020E610000074FA30310C4F57C09B69EB75C5734640,POINT (481438.262473282 4972364.305322592)
35,Sovereign Grounds,Y,809 thru 815 48th St E,"Brownfields, Petroleum Brownfield","Brownfields, Petroleum Brownfield",Investigation and Cleanup,PB4391,,0101000020E610000074FA30310C4F57C09B69EB75C5734640,POINT (481438.262473282 4972364.305322592)
36,SP 2725-58 Landscaping,N,See Location Description,Construction Stormwater,Construction Stormwater,Stormwater,C00016385,,0101000020E610000074FA30310C4F57C09B69EB75C5734640,POINT (481438.262473282 4972364.305322592)
37,Mill Quarter Municipal Parking/Parcel D,N,See Location Description,Construction Stormwater,Construction Stormwater,Stormwater,C00013985,,0101000020E610000074FA30310C4F57C09B69EB75C5734640,POINT (481438.262473282 4972364.305322592)
38,Hennepin County Minnehaha Park,N,51st & Minnehaha Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MN0000200709,,0101000020E610000074FA30310C4F57C09B69EB75C5734640,POINT (481438.262473282 4972364.305322592)
39,Minnesota Veterans Home Bldg 17 North,Y,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00037529,,0101000020E610000074FA30310C4F57C09B69EB75C5734640,POINT (481438.262473282 4972364.305322592)
40,Gravesite Expansion/Improvements,N,See Location Description,Construction Stormwater,Construction Stormwater,Stormwater,C00015690,,0101000020E610000074FA30310C4F57C09B69EB75C5734640,POINT (481438.262473282 4972364.305322592)
41,Apex Pest Control Company,Y,5228 Shoreview Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND982427775,,0101000020E610000018A4CFFD0B4F57C0C5330D2F2D744640,POINT (481440.2505023373 4972715.929952873)
42,Minneapolis Schools Keewaydin,Y,5209 30th Ave S,Multiple Activities,"Hazardous Waste, Very small quantity generator; Underground Tanks",Hazardous Waste; Tanks,MNR000032961; TS0002331,Educational Services,0101000020E6100000773469AEAE4E57C03B45589E51744640,POINT (481890.1925341928 4972838.15753579)
43,Lake Nokomis Lutheran Church,N,5011 31st Ave S,Underground Tanks,Underground Tanks,Tanks,TS0017592,,0101000020E61000009D386F52874E57C06F6B6688BE744640,POINT (482080.86710533564 4973206.84945399)
44,White Crane Design Build,Y,5001 28th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000314768,Residential Remodelers,0101000020E610000038A0A52BD84E57C0C286A757CA744640,POINT (481691.46323576954 4973247.98754759)
45,Nokomis Service Center,Y,2810 50th St E,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MND981802614,Gasoline Stations with Convenience Stores,0101000020E6100000E487A5DCD84E57C0138DFF4CCE744640,POINT (481688.1705981311 4973261.416210449)
46,Nokomis Service Center,N,2810 E 50th St,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0015005; TS0122730,,0101000020E6100000D89134C9D94E57C0DC813AE5D1744640,POINT (481683.75355843455 4973273.6150352005)
47,Palmquist James R Dds,Y,4945 28th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000007807,Health Services,0101000020E6100000262F7C8ED94E57C0B691FCD2EC744640,POINT (481685.120272255 4973364.901949021)
48,28th Ave. S. Bridge Replacement & Trail Improvements,Y,,Construction Stormwater,Construction Stormwater,Stormwater,C00054328,,0101000020E61000009BE3DC26DC4E57C0D7169E978A754640,POINT (481674.15095788153 4973899.781458297)
49,4517 30th Avenue South,Y,4517 30th Ave S,Site Assessment,Site Assessment,Investigation and Cleanup,SA0000197,,0101000020E6100000671D9FDAAA4E57C08BF4EC03DA754640,POINT (481912.3985980085 4974168.35483336)
50,Minneapolis Schools Ericsson,Y,4315 31st Ave S,Multiple Activities,"Hazardous Waste, Very small quantity generator; Underground Tanks",Hazardous Waste; Tanks,MNR000022905; TS0002320,Educational Services,0101000020E6100000F9F13C5D824E57C0E72F99CF5E764640,POINT (482108.7050593784 4974617.992136648)
51,Beason Motors,N,4301 30th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,PW5103029034,,0101000020E610000089409A56AF4E57C06CF58BC866764640,POINT (481892.14964821027 4974645.62905802)
52,HALE FAMILY DENTAL,Y,5201 Bloomington Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000007815,Offices of Dentists,0101000020E61000000D3C52D8205057C0F4925A8352744640,POINT (480106.6948472009 4972846.48601347)
53,Energy Conservatory,N,5158 Bloomington Ave S,Multiple Activities,Hazardous Waste; Underground Tanks,Hazardous Waste; Tanks,MNP200000261; TS0012314,,0101000020E61000003D81B0532C5057C04D3DC1B45E744640,POINT (480051.50267420255 4972887.992941446)
54,Holy Cross Lutheran Church,Y,1720 E Minnehaha Pkwy,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0019316; TS0126124,,0101000020E6100000F39B78BDEA4F57C06975CD3F55754640,POINT (480370.0736546685 4973722.812547509)
55,Hiawatha College Prep - Northrop Middle,Y,,Construction Stormwater,Construction Stormwater,Stormwater,C00040048,,0101000020E610000073124A5F085057C080D591239D754640,POINT (480228.07549749647 4973966.962747997)
56,Former Cyrus Northrup School,Y,1611 46th St E,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000199828,Elementary and Secondary Schools,0101000020E6100000C89B57D00F5057C01F155A31B7754640,POINT (480192.5010012111 4974055.397724174)
57,Former Total #2680,Y,4552 Bloomington Ave,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0007087,,0101000020E61000005C8FC2F5285057C06A1C4531D4754640,POINT (480071.67330594093 4974154.084387127)
58,Gronlund Dwight H/Nokomis Cycle,Y,4553 Bloomington Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MN0000916791,,0101000020E610000088F2052D245057C02256DA3DD4754640,POINT (480094.7196141586 4974154.179329655)
59,Bloomington Q,N,4552 Bloomington Ave,Underground Tanks,Underground Tanks,Tanks,TS0001692,,0101000020E6100000D96B8B7C285057C099582AB9D4754640,POINT (480073.95981974166 4974155.876876128)
60,Zeichen Press LLC,Y,4504 17th Ave S,Industrial Stormwater,Industrial Stormwater,Stormwater,MNRNE33P7; MNRNE38XP,,0101000020E61000005D92DAF6035057C09F716579EC754640,POINT (480250.14115912595 4974235.848894991)
61,Victory Automotive,Y,4201 Bloomington Ave,"Hazardous Waste, Small quantity generator","Hazardous Waste, Small quantity generator",Hazardous Waste,MND982065849,General Automotive Repair,0101000020E61000009DD1FB6B1E5057C0FF8C1C339A764640,POINT (480124.5255527616 4974825.184243079)
62,Barber Shop Complex,Y,4724 Through 4728 Cedar Ave,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0016334,,0101000020E610000011C269E2D94F57C08DC30DB660754640,POINT (480451.39480390085 4973761.420517504)
63,Nokomis Mixed Use,Y,4725 Cedar Avenue S,Construction Stormwater,Construction Stormwater,Stormwater,C00055371,,0101000020E610000008CBD8D0CD4F57C04ACFF41263754640,POINT (480509.5594277364 4973769.253494834)
64,Cedar Quick Mart Inc,Y,4700 Cedar Ave S,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0019988; TS0002260,,0101000020E61000001C7C6132D54F57C0406DAF6076754640,POINT (480474.2017394156 4973834.802453596)
65,Multi-Tenant Office Building,Y,4705 Cedar Ave S,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; CERCLIS Site; Site Assessment",Investigation and Cleanup,MNN000504277; SA0004597; VP28150; VP28151,,0101000020E610000020CB27D0CC4F57C016CE24A078754640,POINT (480514.61269114516 4973842.299775078)
66,Hiawatha Golf Course Parking Lot,Y,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00036781,,0101000020E61000002497FF907E4F57C0849ECDAACF754640,POINT (480892.4413958648 4974136.239423281)
67,MPRB Hiawatha Golf Course,Y,4553 Longfellow Ave,Multiple Activities,Hazardous Waste; Underground Tanks,Hazardous Waste; Tanks,MNR000103408; TS0002119,,0101000020E61000008E31C1BABB4F57C04C31AC87D4754640,POINT (480597.8574236072 4974153.611481284)
68,Golf Course Improvement 1999,N,4553 Longfellow Ave,Construction Stormwater,Construction Stormwater,Stormwater,C00006329,,0101000020E6100000755CE8A5BD4F57C0E665039FD5754640,POINT (480588.6265961253 4974157.3386747)
69,Cedar Avenue Repair,Y,4301 Cedar Ave S,Multiple Activities,"Aboveground Tanks; Hazardous Waste, Minimal quantity generator; Underground Tanks",Hazardous Waste; Tanks,MND042301572; TS0001450,General Automotive Repair,0101000020E61000005F35E03DD14F57C0FBAF73D366764640,POINT (480495.74361678 4974649.879873126)
70,Hulsing Laurel A Dds Ltd,Y,4204 Cedar Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985693647,Health Services,0101000020E6100000633F30ECD54F57C01BE20E8A9C764640,POINT (480473.75321636 4974832.040451261)
71,Midwest Floor Covering,Y,4200 Cedar Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985759257,,0101000020E6100000338AE596D64F57C0A85C3C17A1764640,POINT (480470.58850011724 4974847.480073366)
72,Minneapolis US Air Force Reserve,Y,760 Military Highway,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0018042,,0101000020E61000007888354BB84D57C08F4F6D1569724640,POINT (483072.94306910416 4971178.747855016)
73,USAF Reserve 934AW Bldg 812,Y,MSP Airport Int.,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0018133,,0101000020E6100000139D6516A14D57C013AB50EE88724640,POINT (483185.0675998459 4971286.416729931)
74,"QJKL 15-0041, Repair Streets and Parking",N,760 Military Highway,Construction Stormwater,Construction Stormwater,Stormwater,C00040727,,0101000020E61000002F6EA301BC4D57C018265305A3724640,POINT (483055.57089264685 4971375.204880521)
75,US Air Force Reserve- Bldg 745,Y,760 Military Highway,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0021469; TS0012985,,0101000020E6100000B95FF4CBD64D57C057CAF818A8724640,POINT (482926.50739697507 4971392.758413413)
76,US Air Force Reserve/934th Airlift Wing,Y,760 Military Highway Bldg 744,Multiple Activities,"CERCLIS Site; Hazardous Waste, Small quantity generator; Industrial Stormwater; RCRA Remediation; Superfund, Federal Superfund project and State Superfund project; Wastewater, Industrial NPDES/SDS Permit",Hazardous Waste; Investigation and Cleanup; Stormwater; Water Quality,A00001946; MN0052141; MN8570024275; MN8570024275-01; MN8570024275-02; SR0000073,Other General Government Support ; National Security,0101000020E61000005146BF2A954D57C0FDF8096FA8724640,POINT (483242.796291023 4971393.062241537)
77,"QJKL 00-0008 Repair Water Mains, Area N",N,760 Military Hwy,Construction Stormwater,Construction Stormwater,Stormwater,C00027362,,0101000020E610000022F4D83BC84D57C05D2B4602B2724640,POINT (482996.7790605594 4971426.171519732)
78,QJKL 13-0016 Repair Base Streets/Parking,N,760 Military Highway,Construction Stormwater,Construction Stormwater,Stormwater,C00036890,,0101000020E61000000BB5A679C74D57C009F9A067B3724640,POINT (483000.4474032739 4971430.894038026)
79,QJKL11-006 Repair Base Streets,N,760 Military Highway,Construction Stormwater,Construction Stormwater,Stormwater,C00032306,,0101000020E6100000367689EAAD4D57C0B4024356B7724640,POINT (483123.6572090088 4971443.898287303)
80,Qwest Communications,Y,5857 43rd Ave S,Multiple Activities,"Aboveground Tanks; Hazardous Waste, Very small quantity generator; Underground Tanks",Hazardous Waste; Tanks,MNR000112052; TS0002823,,0101000020E6100000D0EE9062804D57C035BE8AE7C7724640,POINT (483343.22759425297 4971499.488136532)
81,Us West,N,5825 43rd Ave S,Underground Tanks,Underground Tanks,Tanks,TS0013808,,0101000020E6100000B87878CF814D57C042F4FF05DD724640,POINT (483336.54488881736 4971571.100438425)
82,Running Track and Perimeter Road Improvements,Y,760 Military Hwy,Construction Stormwater,Construction Stormwater,Stormwater,C00053666,,0101000020E6100000AED3484BE54D57C063B83A00E2724640,POINT (482857.1671629586 4971589.240496234)
83,Larson Residence,Y,5556 45th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000172007,Private Households,0101000020E6100000B78B1F19614D57C0AE49B72572734640,POINT (483495.4941620137 4972076.229848797)
84,Morris Park Elementary School,Y,3810 E 56th,Underground Tanks,Underground Tanks,Tanks,TS0002338,,0101000020E6100000FC451A26E44D57C0DF52CE177B734640,POINT (482864.0772020947 4972108.216076968)
85,Minneapolis Schools Morris Park,Y,3810 E 56th St,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000022632,Educational Services,0101000020E6100000FC451A26E44D57C0DF52CE177B734640,POINT (482864.0772020947 4972108.216076968)
86,Southside Automotive,Y,5400 43rd Avenue South,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup","Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup",Investigation and Cleanup,BF0001884,"Automotive Body, Paint, and Interior Repair and Maintenance",0101000020E61000009DC738B18D4D57C04DECCAFCDD734640,POINT (483281.56305167044 4972442.371786799)
87,One Hour Martinizing,N,4200 E 54th St,Multiple Activities,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup; Hazardous Waste; Petroleum Remediation, Leak Site; Site Assessment",Hazardous Waste; Investigation and Cleanup,BF0001819; BF0001989; LS0021640; MNNONDC135; SA0000843,,0101000020E61000002EF96551944D57C01691F679EB734640,POINT (483249.75727497396 4972488.183581908)
88,Petroclean,Y,5339 40th Ave S,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000020404,,0101000020E61000004B332779BF4D57C0E79A13C5F5734640,POINT (483041.909423089 4972523.626587579)
89,Crosstown Market,Y,5750 34th Ave S,Underground Tanks,Underground Tanks,Tanks,TS0002713,,0101000020E6100000DC950277454E57C044EDC8A2FA724640,POINT (482393.94034638745 4971674.012506785)
90,Diamond Hill Townhomes,Y,5701 Sander Dr,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; Construction Stormwater",Investigation and Cleanup; Stormwater,C00039119; VP31080,,0101000020E61000000C76A2A85C4E57C0C783EB5929734640,POINT (482282.60716474167 4971832.688521304)
91,Diamond Hill Townhomes,Y,5640 34th Ave S,"Brownfields, Petroleum Brownfield","Brownfields, Petroleum Brownfield",Investigation and Cleanup,PB4523,,0101000020E6100000B36D62925B4E57C017540A7030734640,POINT (482287.91146648524 4971856.697322046)
92,Madsen B J Typesetting,N,5610 37th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND982608440,,0101000020E610000073576595084E57C0392284EC61734640,POINT (482688.27774158266 4972023.364008254)
93,34th Ave S Reconstruction Project,Y,,Construction Stormwater,Construction Stormwater,Stormwater,C00053371,,0101000020E610000007D3307C444E57C0137D3ECA88734640,POINT (482399.9884801769 4972155.909658156)
94,Nelson's Automotive,Y,5415 34th Ave S,Multiple Activities,"Aboveground Tanks; Hazardous Waste, Very small quantity generator; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0003550; MND985666593; TS0002297,General Automotive Repair,0101000020E61000004D45CFD23A4E57C000CEE6CCD1734640,POINT (482447.2243896681 4972403.2910259785)
95,The Service Station Inc,N,5415 34th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985709807,Gasoline Stations with Convenience Stores,0101000020E61000008E345DF43A4E57C000CEE6CCD1734640,POINT (482446.59282081726 4972403.292758497)
96,Fire Station #12,Y,5401 33rd Ave S,Underground Tanks,Underground Tanks,Tanks,TS0003208,,0101000020E61000009A1947F6524E57C0AEB6627FD9734640,POINT (482330.98521358595 4972429.705092211)
97,J-P Complete Auto Repair,Y,5401 34th Ave S,Multiple Activities,"Aboveground Tanks; Hazardous Waste, Very small quantity generator; Underground Tanks",Hazardous Waste; Tanks,MND985748136; TS0014671,General Automotive Repair,0101000020E6100000A5283C0D3D4E57C0B958AC3CDC734640,POINT (482436.5849258352 4972438.701175542)
98,Airport Pharmacy,N,3321 54th St E,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985765775,,0101000020E610000054707841444E57C0F1868FE3E2734640,POINT (482401.93459348846 4972461.346879247)
99,Oaks Longfellow,Y,5371 Minnehaha Ave,Construction Stormwater,Construction Stormwater,Stormwater,C00052958,,0101000020E61000004FEB36A8FD4C57C0C493DDCCE8734640,POINT (483975.68225357594 4972477.251859834)
100,F & D Motor Works,N,5371 Minnehaha Ave,Multiple Activities,Hazardous Waste; Underground Tanks,Hazardous Waste; Tanks,MND051764363; TS0018090,,0101000020E61000007279628CFE4C57C0DC172BC5E9734640,POINT (483971.39588259486 4972480.550745157)
101,Former F&D Motor Works,Y,5371 Minnehaha Ave,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0016925; TS0018090,,0101000020E61000007279628CFE4C57C03B4E76D8E9734640,POINT (483971.3965232406 4972480.806241538)
102,Riverview Apartments,Y,5360 Riverview Road,Construction Stormwater,Construction Stormwater,Stormwater,C00033215,,0101000020E61000002AB8697DDB4C57C08501F0F4EF734640,POINT (484140.3746481652 4972501.102675713)
103,Brushed Monkey,N,3320 54th St,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000304408,Painting and Wall Covering Contractors,0101000020E61000009A588572474E57C0C44B265DE9734640,POINT (482386.616511527 4972483.339662345)
104,Steves Tire & Auto,Y,5355 34th Ave S,Multiple Activities,"Hazardous Waste, Very small quantity generator; Underground Tanks",Hazardous Waste; Tanks,MND981802721; TS0004126,Other Gasoline Stations,0101000020E610000004CF18413E4E57C094090962EA734640,POINT (482430.92211345857 4972486.672638027)
105,34th Ave S Corridor,Y,4800 34th Ave S,"Brownfields, Petroleum Brownfield","Brownfields, Petroleum Brownfield",Investigation and Cleanup,BF0001773,,0101000020E6100000A283899A434E57C0D3F334811E744640,POINT (482405.6328924325 4972663.439217971)
106,Nokomis Hardware Inc,Y,5155 34th Ave S,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000203398,Hardware Manufacturing,0101000020E61000009D11A5BD414E57C005F060D56A744640,POINT (482415.3205828978 4972922.1736072665)
107,SuperAmerica 4165,Y,5101 34th Ave S,Multiple Activities,"Hazardous Waste; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0010068; LS0021106; MNR000010983; TS0001521,Gasoline Stations with Convenience Stores,0101000020E61000009DE5E40B3B4E57C094C217818C744640,POINT (482447.88802012306 4973036.230903048)
