id,FACILITY_NAME,FACILITY_ID,INDUSTRY_TYPE,NAICS_CODE,YEAR,POLLUTANT,LBS_EMITTED,TONS_EMITTED,x,y
325,Qwest Communications - 12075,5301055,Other,51711,2006,PM Primary,680.0,0.34,482107.55981580715,4982440.483135579
326,Qwest Communications - 12075,5301055,Other,51711,2006,PM10 Primary,680.0,0.34,482107.55981580715,4982440.483135579
327,Qwest Communications - 12075,5301055,Other,51711,2006,Sulfur Dioxide,560.0,0.28,482107.55981580715,4982440.483135579
328,Qwest Communications - 12075,5301055,Other,51711,2006,Volatile Organic Compounds,740.0,0.37,482107.55981580715,4982440.483135579
329,Qwest Communications - 12075,5301055,Other,51711,2006,Lead,0.0,0.0,482107.55981580715,4982440.483135579
470,Twin City Plating,5300971,Manufacturing,332813,2006,Carbon Monoxide,920.0,0.46,482903.92140847904,4982584.474954821
471,Twin City Plating,5300971,Manufacturing,332813,2006,Nitrogen Oxides,1080.0,0.54,482903.92140847904,4982584.474954821
472,Twin City Plating,5300971,Manufacturing,332813,2006,PM Primary,80.0,0.04,482903.92140847904,4982584.474954821
473,Twin City Plating,5300971,Manufacturing,332813,2006,PM10 Primary,80.0,0.04,482903.92140847904,4982584.474954821
474,Twin City Plating,5300971,Manufacturing,332813,2006,Sulfur Dioxide,0.0,0.0,482903.92140847904,4982584.474954821
475,Twin City Plating,5300971,Manufacturing,332813,2006,Volatile Organic Compounds,40.0,0.02,482903.92140847904,4982584.474954821
476,Twin City Plating,5300971,Manufacturing,332813,2006,Lead,0.0,0.0,482903.92140847904,4982584.474954821
505,U of M Medical Center - Fairview,5300042,Other,62211,2006,Carbon Monoxide,2340.0,1.17,481294.2182944508,4979289.675238205
506,U of M Medical Center - Fairview,5300042,Other,62211,2006,Nitrogen Oxides,10820.0,5.41,481294.2182944508,4979289.675238205
507,U of M Medical Center - Fairview,5300042,Other,62211,2006,PM Primary,760.0,0.38,481294.2182944508,4979289.675238205
508,U of M Medical Center - Fairview,5300042,Other,62211,2006,PM10 Primary,760.0,0.38,481294.2182944508,4979289.675238205
509,U of M Medical Center - Fairview,5300042,Other,62211,2006,Sulfur Dioxide,720.0,0.36,481294.2182944508,4979289.675238205
510,U of M Medical Center - Fairview,5300042,Other,62211,2006,Volatile Organic Compounds,880.0,0.44,481294.2182944508,4979289.675238205
511,U of M Medical Center - Fairview,5300042,Other,62211,2006,Lead,0.0,0.0,481294.2182944508,4979289.675238205
554,Minneapolis City Hall/Courthall,5300692,Other,92119,2006,Carbon Monoxide,80.0,0.04,479074.1623154065,4980462.979573152
555,Minneapolis City Hall/Courthall,5300692,Other,92119,2006,Nitrogen Oxides,360.0,0.18,479074.1623154065,4980462.979573152
556,Minneapolis City Hall/Courthall,5300692,Other,92119,2006,PM Primary,20.0,0.01,479074.1623154065,4980462.979573152
557,Minneapolis City Hall/Courthall,5300692,Other,92119,2006,PM10 Primary,20.0,0.01,479074.1623154065,4980462.979573152
558,Minneapolis City Hall/Courthall,5300692,Other,92119,2006,Sulfur Dioxide,20.0,0.01,479074.1623154065,4980462.979573152
559,Minneapolis City Hall/Courthall,5300692,Other,92119,2006,Volatile Organic Compounds,480.0,0.24,479074.1623154065,4980462.979573152
560,Minneapolis City Hall/Courthall,5300692,Other,92119,2006,Lead,0.0,0.0,479074.1623154065,4980462.979573152
561,Minneapolis Concrete Recyclers,5301216,Mining,212313,2006,Carbon Monoxide,380.0,0.19,477482.3663895158,4986259.172925602
562,Minneapolis Concrete Recyclers,5301216,Mining,212313,2006,Nitrogen Oxides,1780.0,0.89,477482.3663895158,4986259.172925602
563,Minneapolis Concrete Recyclers,5301216,Mining,212313,2006,PM Primary,1540.0,0.77,477482.3663895158,4986259.172925602
564,Minneapolis Concrete Recyclers,5301216,Mining,212313,2006,PM10 Primary,520.0,0.26,477482.3663895158,4986259.172925602
565,Minneapolis Concrete Recyclers,5301216,Mining,212313,2006,Sulfur Dioxide,120.0,0.06,477482.3663895158,4986259.172925602
566,Minneapolis Concrete Recyclers,5301216,Mining,212313,2006,Volatile Organic Compounds,140.0,0.07,477482.3663895158,4986259.172925602
567,Minneapolis Concrete Recyclers,5301216,Mining,212313,2006,Lead,0.0,0.0,477482.3663895158,4986259.172925602
582,Minneapolis Institute of Arts,5301120,Other,71212,2006,Carbon Monoxide,7480.0,3.74,478381.17531527404,4978387.94098043
583,Minneapolis Institute of Arts,5301120,Other,71212,2006,Nitrogen Oxides,8980.0,4.49,478381.17531527404,4978387.94098043
584,Minneapolis Institute of Arts,5301120,Other,71212,2006,PM Primary,700.0,0.35,478381.17531527404,4978387.94098043
585,Minneapolis Institute of Arts,5301120,Other,71212,2006,PM10 Primary,680.0,0.34,478381.17531527404,4978387.94098043
586,Minneapolis Institute of Arts,5301120,Other,71212,2006,Sulfur Dioxide,140.0,0.07,478381.17531527404,4978387.94098043
587,Minneapolis Institute of Arts,5301120,Other,71212,2006,Volatile Organic Compounds,520.0,0.26,478381.17531527404,4978387.94098043
588,Minneapolis Institute of Arts,5301120,Other,71212,2006,Lead,0.0,0.0,478381.17531527404,4978387.94098043
648,Qwest Communications - Minneapolis,5300467,Other,51711,2006,Carbon Monoxide,2780.0,1.39,478940.26983003056,4980507.854593108
649,Qwest Communications - Minneapolis,5300467,Other,51711,2006,Nitrogen Oxides,12740.0,6.37,478940.26983003056,4980507.854593108
650,Qwest Communications - Minneapolis,5300467,Other,51711,2006,PM Primary,220.0,0.11,478940.26983003056,4980507.854593108
651,Qwest Communications - Minneapolis,5300467,Other,51711,2006,PM10 Primary,180.0,0.09,478940.26983003056,4980507.854593108
652,Qwest Communications - Minneapolis,5300467,Other,51711,2006,Sulfur Dioxide,340.0,0.17,478940.26983003056,4980507.854593108
653,Qwest Communications - Minneapolis,5300467,Other,51711,2006,Volatile Organic Compounds,380.0,0.19,478940.26983003056,4980507.854593108
654,Qwest Communications - Minneapolis,5300467,Other,51711,2006,Lead,0.0,0.0,478940.26983003056,4980507.854593108
669,Qwest Communications Inc - Wayzata,5300871,Other,51711,2006,Carbon Monoxide,100.0,0.05,475044.5412825791,4979783.47672007
670,Qwest Communications Inc - Wayzata,5300871,Other,51711,2006,Nitrogen Oxides,540.0,0.27,475044.5412825791,4979783.47672007
671,Qwest Communications Inc - Wayzata,5300871,Other,51711,2006,PM Primary,60.0,0.03,475044.5412825791,4979783.47672007
672,Qwest Communications Inc - Wayzata,5300871,Other,51711,2006,PM10 Primary,100.0,0.05,475044.5412825791,4979783.47672007
673,Qwest Communications Inc - Wayzata,5300871,Other,51711,2006,Sulfur Dioxide,0.0,0.0,475044.5412825791,4979783.47672007
674,Qwest Communications Inc - Wayzata,5300871,Other,51711,2006,Volatile Organic Compounds,40.0,0.02,475044.5412825791,4979783.47672007
675,Qwest Communications Inc - Wayzata,5300871,Other,51711,2006,Lead,0.0,0.0,475044.5412825791,4979783.47672007
816,Excel Metal Finishing Inc,5300863,Manufacturing,332813,2006,Carbon Monoxide,80.0,0.04,482871.5294994237,4982262.406457787
817,Excel Metal Finishing Inc,5300863,Manufacturing,332813,2006,Nitrogen Oxides,300.0,0.15,482871.5294994237,4982262.406457787
818,Excel Metal Finishing Inc,5300863,Manufacturing,332813,2006,PM Primary,980.0,0.49,482871.5294994237,4982262.406457787
819,Excel Metal Finishing Inc,5300863,Manufacturing,332813,2006,PM10 Primary,980.0,0.49,482871.5294994237,4982262.406457787
820,Excel Metal Finishing Inc,5300863,Manufacturing,332813,2006,Sulfur Dioxide,0.0,0.0,482871.5294994237,4982262.406457787
821,Excel Metal Finishing Inc,5300863,Manufacturing,332813,2006,Volatile Organic Compounds,34820.0,17.41,482871.5294994237,4982262.406457787
822,Excel Metal Finishing Inc,5300863,Manufacturing,332813,2006,Lead,0.0,0.0,482871.5294994237,4982262.406457787
851,Fairview - U of M Medical Center,5301211,Other,62211,2006,Carbon Monoxide,540.0,0.27,481760.85983094183,4979766.00380736
852,Fairview - U of M Medical Center,5301211,Other,62211,2006,Nitrogen Oxides,2540.0,1.27,481760.85983094183,4979766.00380736
853,Fairview - U of M Medical Center,5301211,Other,62211,2006,PM Primary,180.0,0.09,481760.85983094183,4979766.00380736
854,Fairview - U of M Medical Center,5301211,Other,62211,2006,PM10 Primary,180.0,0.09,481760.85983094183,4979766.00380736
855,Fairview - U of M Medical Center,5301211,Other,62211,2006,Sulfur Dioxide,160.0,0.08,481760.85983094183,4979766.00380736
856,Fairview - U of M Medical Center,5301211,Other,62211,2006,Volatile Organic Compounds,200.0,0.1,481760.85983094183,4979766.00380736
857,Fairview - U of M Medical Center,5301211,Other,62211,2006,Lead,0.0,0.0,481760.85983094183,4979766.00380736
1219,U of M WBOB,5300943,Other,61131,2006,Carbon Monoxide,880.0,0.44,480453.4989291423,4980303.089232775
1220,U of M WBOB,5300943,Other,61131,2006,Nitrogen Oxides,1320.0,0.66,480453.4989291423,4980303.089232775
1221,U of M WBOB,5300943,Other,61131,2006,PM Primary,100.0,0.05,480453.4989291423,4980303.089232775
1222,U of M WBOB,5300943,Other,61131,2006,PM10 Primary,100.0,0.05,480453.4989291423,4980303.089232775
1223,U of M WBOB,5300943,Other,61131,2006,Sulfur Dioxide,20.0,0.01,480453.4989291423,4980303.089232775
1224,U of M WBOB,5300943,Other,61131,2006,Volatile Organic Compounds,80.0,0.04,480453.4989291423,4980303.089232775
1225,U of M WBOB,5300943,Other,61131,2006,Lead,0.0,0.0,480453.4989291423,4980303.089232775
1226,University of MN - Twin Cities,5301050,Other,61131,2006,Carbon Monoxide,184040.0,92.02,481612.3456992384,4980221.888921751
1227,University of MN - Twin Cities,5301050,Other,61131,2006,Nitrogen Oxides,329550.0,164.78,481612.3456992384,4980221.888921751
1228,University of MN - Twin Cities,5301050,Other,61131,2006,PM Primary,15379.0,7.69,481612.3456992384,4980221.888921751
1229,University of MN - Twin Cities,5301050,Other,61131,2006,PM10 Primary,14874.0,7.44,481612.3456992384,4980221.888921751
1230,University of MN - Twin Cities,5301050,Other,61131,2006,Sulfur Dioxide,17425.0,8.71,481612.3456992384,4980221.888921751
1231,University of MN - Twin Cities,5301050,Other,61131,2006,Volatile Organic Compounds,12092.0,6.05,481612.3456992384,4980221.888921751
1232,University of MN - Twin Cities,5301050,Other,61131,2006,Lead,83.453,0.04,481612.3456992384,4980221.888921751
1268,US Postal Service - Mpls P&D Center,5300874,Other,49111,2006,Carbon Monoxide,64200.0,32.1,479186.7543492692,4981140.249469234
1269,US Postal Service - Mpls P&D Center,5300874,Other,49111,2006,Nitrogen Oxides,76800.0,38.4,479186.7543492692,4981140.249469234
1270,US Postal Service - Mpls P&D Center,5300874,Other,49111,2006,PM Primary,10000.0,5.0,479186.7543492692,4981140.249469234
1271,US Postal Service - Mpls P&D Center,5300874,Other,49111,2006,PM10 Primary,5800.0,2.9,479186.7543492692,4981140.249469234
1272,US Postal Service - Mpls P&D Center,5300874,Other,49111,2006,Sulfur Dioxide,600.0,0.3,479186.7543492692,4981140.249469234
1273,US Postal Service - Mpls P&D Center,5300874,Other,49111,2006,Volatile Organic Compounds,4200.0,2.1,479186.7543492692,4981140.249469234
1274,US Postal Service - Mpls P&D Center,5300874,Other,49111,2006,Lead,0.0,0.0,479186.7543492692,4981140.249469234
1331,City of Minneapolis Traffic Maintenance,5300964,Other,92119,2006,Carbon Monoxide,340.0,0.17,477560.0849366242,4980896.568172728
1332,City of Minneapolis Traffic Maintenance,5300964,Other,92119,2006,Nitrogen Oxides,400.0,0.2,477560.0849366242,4980896.568172728
1333,City of Minneapolis Traffic Maintenance,5300964,Other,92119,2006,PM Primary,40.0,0.02,477560.0849366242,4980896.568172728
1334,City of Minneapolis Traffic Maintenance,5300964,Other,92119,2006,PM10 Primary,40.0,0.02,477560.0849366242,4980896.568172728
1335,City of Minneapolis Traffic Maintenance,5300964,Other,92119,2006,Sulfur Dioxide,0.0,0.0,477560.0849366242,4980896.568172728
1336,City of Minneapolis Traffic Maintenance,5300964,Other,92119,2006,Volatile Organic Compounds,2780.0,1.39,477560.0849366242,4980896.568172728
1337,City of Minneapolis Traffic Maintenance,5300964,Other,92119,2006,Lead,0.0,0.0,477560.0849366242,4980896.568172728
1457,Coloplast Manufacturing US LLC,5300649,Manufacturing,326299,2006,Carbon Monoxide,1240.0,0.62,478150.38561450405,4982399.008232009
1458,Coloplast Manufacturing US LLC,5300649,Manufacturing,326299,2006,Nitrogen Oxides,1480.0,0.74,478150.38561450405,4982399.008232009
1459,Coloplast Manufacturing US LLC,5300649,Manufacturing,326299,2006,PM Primary,120.0,0.06,478150.38561450405,4982399.008232009
1460,Coloplast Manufacturing US LLC,5300649,Manufacturing,326299,2006,PM10 Primary,120.0,0.06,478150.38561450405,4982399.008232009
1461,Coloplast Manufacturing US LLC,5300649,Manufacturing,326299,2006,Sulfur Dioxide,0.0,0.0,478150.38561450405,4982399.008232009
1462,Coloplast Manufacturing US LLC,5300649,Manufacturing,326299,2006,Volatile Organic Compounds,45260.0,22.63,478150.38561450405,4982399.008232009
1463,Coloplast Manufacturing US LLC,5300649,Manufacturing,326299,2006,Lead,0.0,0.0,478150.38561450405,4982399.008232009
1779,Minneapolis Star-Tribune Heritage Building,5300454,Other,51111,2006,Carbon Monoxide,0.0,0.0,478219.88666076586,4981976.6346494155
1780,Minneapolis Star-Tribune Heritage Building,5300454,Other,51111,2006,Nitrogen Oxides,0.0,0.0,478219.88666076586,4981976.6346494155
1781,Minneapolis Star-Tribune Heritage Building,5300454,Other,51111,2006,PM Primary,0.0,0.0,478219.88666076586,4981976.6346494155
1782,Minneapolis Star-Tribune Heritage Building,5300454,Other,51111,2006,PM10 Primary,0.0,0.0,478219.88666076586,4981976.6346494155
1783,Minneapolis Star-Tribune Heritage Building,5300454,Other,51111,2006,Sulfur Dioxide,0.0,0.0,478219.88666076586,4981976.6346494155
1784,Minneapolis Star-Tribune Heritage Building,5300454,Other,51111,2006,Volatile Organic Compounds,59463.0,29.73,478219.88666076586,4981976.6346494155
1785,Minneapolis Star-Tribune Heritage Building,5300454,Other,51111,2006,Lead,0.0,0.0,478219.88666076586,4981976.6346494155
1933,Minnesota Veterans Home - Minneapolis,5300399,Other,623311,2006,Carbon Monoxide,3300.0,1.65,483857.92688735615,4973317.32419012
1934,Minnesota Veterans Home - Minneapolis,5300399,Other,623311,2006,Nitrogen Oxides,6380.0,3.19,483857.92688735615,4973317.32419012
1935,Minnesota Veterans Home - Minneapolis,5300399,Other,623311,2006,PM Primary,540.0,0.27,483857.92688735615,4973317.32419012
1936,Minnesota Veterans Home - Minneapolis,5300399,Other,623311,2006,PM10 Primary,500.0,0.25,483857.92688735615,4973317.32419012
1937,Minnesota Veterans Home - Minneapolis,5300399,Other,623311,2006,Sulfur Dioxide,920.0,0.46,483857.92688735615,4973317.32419012
1938,Minnesota Veterans Home - Minneapolis,5300399,Other,623311,2006,Volatile Organic Compounds,400.0,0.2,483857.92688735615,4973317.32419012
1939,Minnesota Veterans Home - Minneapolis,5300399,Other,623311,2006,Lead,0.0,0.0,483857.92688735615,4973317.32419012
2150,Velocity Express,5300865,Other,49211,2006,Carbon Monoxide,260.0,0.13,477263.4616022562,4981246.783030796
2151,Velocity Express,5300865,Other,49211,2006,Nitrogen Oxides,300.0,0.15,477263.4616022562,4981246.783030796
2152,Velocity Express,5300865,Other,49211,2006,PM Primary,20.0,0.01,477263.4616022562,4981246.783030796
2153,Velocity Express,5300865,Other,49211,2006,PM10 Primary,20.0,0.01,477263.4616022562,4981246.783030796
2154,Velocity Express,5300865,Other,49211,2006,Sulfur Dioxide,0.0,0.0,477263.4616022562,4981246.783030796
2155,Velocity Express,5300865,Other,49211,2006,Volatile Organic Compounds,20.0,0.01,477263.4616022562,4981246.783030796
2156,Velocity Express,5300865,Other,49211,2006,Lead,0.0,0.0,477263.4616022562,4981246.783030796
2157,Supercomputer LLC,5300481,Other,51821,2006,Carbon Monoxide,20.0,0.01,480253.48589266953,4980220.739137921
2158,Supercomputer LLC,5300481,Other,51821,2006,Nitrogen Oxides,80.0,0.04,480253.48589266953,4980220.739137921
2159,Supercomputer LLC,5300481,Other,51821,2006,PM Primary,20.0,0.01,480253.48589266953,4980220.739137921
2160,Supercomputer LLC,5300481,Other,51821,2006,PM10 Primary,0.0,0.0,480253.48589266953,4980220.739137921
2161,Supercomputer LLC,5300481,Other,51821,2006,Sulfur Dioxide,80.0,0.04,480253.48589266953,4980220.739137921
2162,Supercomputer LLC,5300481,Other,51821,2006,Volatile Organic Compounds,0.0,0.0,480253.48589266953,4980220.739137921
2163,Supercomputer LLC,5300481,Other,51821,2006,Lead,0.0,0.0,480253.48589266953,4980220.739137921
2346,Consolidated Container Co,5300174,Other,42383,2006,Carbon Monoxide,4680.0,2.34,479168.2689518447,4985139.497006611
2347,Consolidated Container Co,5300174,Other,42383,2006,Nitrogen Oxides,6500.0,3.25,479168.2689518447,4985139.497006611
2348,Consolidated Container Co,5300174,Other,42383,2006,PM Primary,21440.0,10.72,479168.2689518447,4985139.497006611
2349,Consolidated Container Co,5300174,Other,42383,2006,PM10 Primary,14500.0,7.25,479168.2689518447,4985139.497006611
2350,Consolidated Container Co,5300174,Other,42383,2006,Sulfur Dioxide,40.0,0.02,479168.2689518447,4985139.497006611
2351,Consolidated Container Co,5300174,Other,42383,2006,Volatile Organic Compounds,18140.0,9.07,479168.2689518447,4985139.497006611
2352,Consolidated Container Co,5300174,Other,42383,2006,Lead,0.0,0.0,479168.2689518447,4985139.497006611
2409,Cooperative Printing,5300655,Manufacturing,323110,2006,Carbon Monoxide,0.0,0.0,476890.23347797897,4982002.524268825
2410,Cooperative Printing,5300655,Manufacturing,323110,2006,Nitrogen Oxides,20.0,0.01,476890.23347797897,4982002.524268825
2411,Cooperative Printing,5300655,Manufacturing,323110,2006,PM Primary,0.0,0.0,476890.23347797897,4982002.524268825
2412,Cooperative Printing,5300655,Manufacturing,323110,2006,PM10 Primary,0.0,0.0,476890.23347797897,4982002.524268825
2413,Cooperative Printing,5300655,Manufacturing,323110,2006,Sulfur Dioxide,0.0,0.0,476890.23347797897,4982002.524268825
2414,Cooperative Printing,5300655,Manufacturing,323110,2006,Volatile Organic Compounds,18000.0,9.0,476890.23347797897,4982002.524268825
2415,Cooperative Printing,5300655,Manufacturing,323110,2006,Lead,0.0,0.0,476890.23347797897,4982002.524268825
2465,Hennepin Energy Recovery Center,5300400,Other,56292,2006,Carbon Monoxide,115880.0,57.94,478031.67397441313,4981252.004061448
2466,Hennepin Energy Recovery Center,5300400,Other,56292,2006,Nitrogen Oxides,1035800.0,517.89,478031.67397441313,4981252.004061448
2467,Hennepin Energy Recovery Center,5300400,Other,56292,2006,PM Primary,42982.0,21.49,478031.67397441313,4981252.004061448
2468,Hennepin Energy Recovery Center,5300400,Other,56292,2006,PM10 Primary,42749.0,21.37,478031.67397441313,4981252.004061448
2469,Hennepin Energy Recovery Center,5300400,Other,56292,2006,Sulfur Dioxide,19721.0,9.86,478031.67397441313,4981252.004061448
2470,Hennepin Energy Recovery Center,5300400,Other,56292,2006,Volatile Organic Compounds,5029.0,2.51,478031.67397441313,4981252.004061448
2471,Hennepin Energy Recovery Center,5300400,Other,56292,2006,Lead,42.004,0.02,478031.67397441313,4981252.004061448
2647,G&K Services - Minneapolis Industrial,5300966,Other,812332,2006,Carbon Monoxide,2077.9,1.04,477829.5655110222,4983077.754320537
2648,G&K Services - Minneapolis Industrial,5300966,Other,812332,2006,Nitrogen Oxides,2692.0,1.35,477829.5655110222,4983077.754320537
2649,G&K Services - Minneapolis Industrial,5300966,Other,812332,2006,PM Primary,56714.0,28.36,477829.5655110222,4983077.754320537
2650,G&K Services - Minneapolis Industrial,5300966,Other,812332,2006,PM10 Primary,5711.8,2.86,477829.5655110222,4983077.754320537
2651,G&K Services - Minneapolis Industrial,5300966,Other,812332,2006,Sulfur Dioxide,1685.1,0.84,477829.5655110222,4983077.754320537
2652,G&K Services - Minneapolis Industrial,5300966,Other,812332,2006,Volatile Organic Compounds,151020.0,75.51,477829.5655110222,4983077.754320537
2653,G&K Services - Minneapolis Industrial,5300966,Other,812332,2006,Lead,0.0080332,0.0,477829.5655110222,4983077.754320537
2661,GAF Materials Corp,5300043,Manufacturing,324122,2006,Carbon Monoxide,21121.0,10.56,478110.633666756,4984598.701033072
2662,GAF Materials Corp,5300043,Manufacturing,324122,2006,Nitrogen Oxides,13271.0,6.64,478110.633666756,4984598.701033072
2663,GAF Materials Corp,5300043,Manufacturing,324122,2006,PM Primary,51384.0,25.69,478110.633666756,4984598.701033072
2664,GAF Materials Corp,5300043,Manufacturing,324122,2006,PM10 Primary,47315.0,23.66,478110.633666756,4984598.701033072
2665,GAF Materials Corp,5300043,Manufacturing,324122,2006,Sulfur Dioxide,16586.0,8.29,478110.633666756,4984598.701033072
2666,GAF Materials Corp,5300043,Manufacturing,324122,2006,Volatile Organic Compounds,119590.0,59.79,478110.633666756,4984598.701033072
2667,GAF Materials Corp,5300043,Manufacturing,324122,2006,Lead,0.0,0.0,478110.633666756,4984598.701033072
2717,General Mills - Checkerboard Facility,5300021,Other,42451,2006,Carbon Monoxide,0.0,0.0,482050.0992355816,4975781.582762464
2718,General Mills - Checkerboard Facility,5300021,Other,42451,2006,Nitrogen Oxides,0.0,0.0,482050.0992355816,4975781.582762464
2719,General Mills - Checkerboard Facility,5300021,Other,42451,2006,PM Primary,1680.0,0.84,482050.0992355816,4975781.582762464
2720,General Mills - Checkerboard Facility,5300021,Other,42451,2006,PM10 Primary,620.0,0.31,482050.0992355816,4975781.582762464
2721,General Mills - Checkerboard Facility,5300021,Other,42451,2006,Sulfur Dioxide,0.0,0.0,482050.0992355816,4975781.582762464
2722,General Mills - Checkerboard Facility,5300021,Other,42451,2006,Volatile Organic Compounds,0.0,0.0,482050.0992355816,4975781.582762464
2723,General Mills - Checkerboard Facility,5300021,Other,42451,2006,Lead,0.0,0.0,482050.0992355816,4975781.582762464
2724,General Mills - SOO Elevator,5300019,Other,42451,2006,Carbon Monoxide,0.0,0.0,475731.65113287786,4987811.435950257
2725,General Mills - SOO Elevator,5300019,Other,42451,2006,Nitrogen Oxides,0.0,0.0,475731.65113287786,4987811.435950257
2726,General Mills - SOO Elevator,5300019,Other,42451,2006,PM Primary,2760.0,1.38,475731.65113287786,4987811.435950257
2727,General Mills - SOO Elevator,5300019,Other,42451,2006,PM10 Primary,1000.0,0.5,475731.65113287786,4987811.435950257
2728,General Mills - SOO Elevator,5300019,Other,42451,2006,Sulfur Dioxide,0.0,0.0,475731.65113287786,4987811.435950257
2729,General Mills - SOO Elevator,5300019,Other,42451,2006,Volatile Organic Compounds,0.0,0.0,475731.65113287786,4987811.435950257
2730,General Mills - SOO Elevator,5300019,Other,42451,2006,Lead,0.0,0.0,475731.65113287786,4987811.435950257
2738,Hennepin County Energy Center,5300002,Utilities,22133,2006,Carbon Monoxide,44686.0,22.34,479600.62526400917,4979894.728928977
2739,Hennepin County Energy Center,5300002,Utilities,22133,2006,Nitrogen Oxides,47383.0,23.69,479600.62526400917,4979894.728928977
2740,Hennepin County Energy Center,5300002,Utilities,22133,2006,PM Primary,4263.2,2.13,479600.62526400917,4979894.728928977
2741,Hennepin County Energy Center,5300002,Utilities,22133,2006,PM10 Primary,4192.3,2.1,479600.62526400917,4979894.728928977
2742,Hennepin County Energy Center,5300002,Utilities,22133,2006,Sulfur Dioxide,921.89,0.46,479600.62526400917,4979894.728928977
2743,Hennepin County Energy Center,5300002,Utilities,22133,2006,Volatile Organic Compounds,2928.1,1.46,479600.62526400917,4979894.728928977
2744,Hennepin County Energy Center,5300002,Utilities,22133,2006,Lead,0.26437,0.0,479600.62526400917,4979894.728928977
2878,Honeywell - Aerospace Minneapolis,5300079,Manufacturing,334511,2006,Carbon Monoxide,1620.0,0.81,482283.2150896748,4983297.130873484
2879,Honeywell - Aerospace Minneapolis,5300079,Manufacturing,334511,2006,Nitrogen Oxides,7280.0,3.64,482283.2150896748,4983297.130873484
2880,Honeywell - Aerospace Minneapolis,5300079,Manufacturing,334511,2006,PM Primary,340.0,0.17,482283.2150896748,4983297.130873484
2881,Honeywell - Aerospace Minneapolis,5300079,Manufacturing,334511,2006,PM10 Primary,340.0,0.17,482283.2150896748,4983297.130873484
2882,Honeywell - Aerospace Minneapolis,5300079,Manufacturing,334511,2006,Sulfur Dioxide,40.0,0.02,482283.2150896748,4983297.130873484
2883,Honeywell - Aerospace Minneapolis,5300079,Manufacturing,334511,2006,Volatile Organic Compounds,12700.0,6.35,482283.2150896748,4983297.130873484
2884,Honeywell - Aerospace Minneapolis,5300079,Manufacturing,334511,2006,Lead,0.0,0.0,482283.2150896748,4983297.130873484
3039,Ritrama Inc,5300477,Pulp & Paper,322222,2006,Carbon Monoxide,2743.4,1.37,483074.32108042156,4981092.782618195
3040,Ritrama Inc,5300477,Pulp & Paper,322222,2006,Nitrogen Oxides,3266.0,1.63,483074.32108042156,4981092.782618195
3041,Ritrama Inc,5300477,Pulp & Paper,322222,2006,PM Primary,248.22,0.12,483074.32108042156,4981092.782618195
3042,Ritrama Inc,5300477,Pulp & Paper,322222,2006,PM10 Primary,248.22,0.12,483074.32108042156,4981092.782618195
3043,Ritrama Inc,5300477,Pulp & Paper,322222,2006,Sulfur Dioxide,19.596,0.01,483074.32108042156,4981092.782618195
3044,Ritrama Inc,5300477,Pulp & Paper,322222,2006,Volatile Organic Compounds,26760.0,13.38,483074.32108042156,4981092.782618195
3045,Ritrama Inc,5300477,Pulp & Paper,322222,2006,Lead,0.01633,0.0,483074.32108042156,4981092.782618195
